Modelo,Dataset,Algoritmo,ARI,AMI,NMI,Silhouette
BLIP,20ng_2classes,BAT,-0.0001,-0.0003,0.0001,0.062
BLIP,20ng_3classes,BAT,-0.0006,-0.0005,0.0001,-0.0058
BLIP,20ng_5classes,BAT,0.0001,0.0001,0.0011,-0.0284
BLIP,ag_news_4k,BAT,0.0034,0.0036,0.0044,-0.0111
BLIP,bbc_news,BAT,0.0588,0.0732,0.0753,-0.027
BLIP,fashion_mnist_5k,BAT,0.506,0.6186,0.62,0.1992
BLIP,mnist_5k,BAT,0.3986,0.5293,0.531,0.1457
BLIP,orl_faces,BAT,0.6175,0.7058,0.8272,0.1918
BLIP,20ng_2classes,CSCLP,0.0236,0.0208,0.0212,0.0735
BLIP,20ng_3classes,CSCLP,0.0044,0.0041,0.0047,-0.0761
BLIP,20ng_5classes,CSCLP,0.0065,0.0081,0.0091,-0.1421
BLIP,ag_news_4k,CSCLP,0.0068,0.0075,0.0083,0.0042
BLIP,bbc_news,CSCLP,0.0973,0.11,0.112,-0.0283
BLIP,fashion_mnist_5k,CSCLP,0.513,0.6164,0.6178,0.2293
BLIP,mnist_5k,CSCLP,0.4723,0.5693,0.5709,0.2095
BLIP,orl_faces,CSCLP,0.6681,0.7507,0.8536,0.293
BLIP,20ng_2classes,K-MEDOIDS,0.0335,0.0289,0.0293,0.0782
BLIP,20ng_3classes,K-MEDOIDS,0.0163,0.0149,0.0155,-0.0855
BLIP,20ng_5classes,K-MEDOIDS,0.0036,0.0047,0.0058,-0.1934
BLIP,ag_news_4k,K-MEDOIDS,0.0024,0.0026,0.0034,-0.0659
BLIP,bbc_news,K-MEDOIDS,0.0286,0.042,0.0442,-0.0986
BLIP,fashion_mnist_5k,K-MEDOIDS,0.0523,0.0998,0.103,-0.0374
BLIP,mnist_5k,K-MEDOIDS,0.04,0.0774,0.0807,-0.0461
BLIP,orl_faces,K-MEDOIDS,0.0048,0.0116,0.4195,-0.2696
BLIP,20ng_2classes,ACO,-0.0005,-0.0004,0.0,0.0527
BLIP,20ng_3classes,ACO,0.0012,0.0011,0.0017,-0.1107
BLIP,20ng_5classes,ACO,0.0011,0.0013,0.0023,-0.1995
BLIP,ag_news_4k,ACO,0.003,0.0032,0.004,-0.0241
BLIP,bbc_news,ACO,0.0613,0.0722,0.0743,-0.0373
BLIP,fashion_mnist_5k,ACO,0.3391,0.4023,0.4044,0.0713
BLIP,mnist_5k,ACO,0.3764,0.4316,0.4337,0.0927
BLIP,orl_faces,ACO,0.3748,0.4865,0.6984,-0.0458
BLIP,20ng_2classes,PSO,0.0017,0.0006,0.001,0.0511
BLIP,20ng_3classes,PSO,-0.0006,-0.0005,0.0001,-0.0881
BLIP,20ng_5classes,PSO,0.0002,0.0003,0.0013,-0.122
BLIP,ag_news_4k,PSO,-0.0004,-0.0005,0.0003,-0.0138
BLIP,bbc_news,PSO,0.0001,0.0002,0.0024,-0.0363
BLIP,fashion_mnist_5k,PSO,0.1437,0.27,0.2726,-0.0616
BLIP,mnist_5k,PSO,0.2484,0.4218,0.4239,-0.0495
BLIP,orl_faces,PSO,0.1832,0.3232,0.6025,-0.299
BLIP,20ng_2classes,HCAKC,-0.0004,-0.0004,0.0,-0.0021
BLIP,20ng_3classes,HCAKC,0.0001,0.0001,0.0007,-0.0285
BLIP,20ng_5classes,HCAKC,-0.0004,-0.0006,0.0005,-0.0525
BLIP,ag_news_4k,HCAKC,0.0024,0.0026,0.0034,-0.004
BLIP,bbc_news,HCAKC,0.0003,0.0002,0.0024,-0.0109
BLIP,fashion_mnist_5k,HCAKC,1.0,1.0,1.0,0.182
BLIP,mnist_5k,HCAKC,1.0,1.0,1.0,0.1988
BLIP,orl_faces,HCAKC,1.0,1.0,1.0,0.2768
BLIP,20ng_2classes,KM-MILP,0.0352,0.0231,0.0235,0.2084
